ID,Issue Type,Summary,Epic Name,Priority,Status,Description,Parent ID,Pts,Wave,Epic
MIDAS-EPIC-0,Epic,ETL Bug Fixes [MIDAS_v6],ETL Bug Fixes,Medium,To Do,High-level grouping for ETL Bug Fixes tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-1,Epic,Docs [MIDAS_v6],Docs,Medium,To Do,High-level grouping for Docs tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-2,Epic,Infrastructure [MIDAS_v6],Infrastructure,Medium,To Do,High-level grouping for Infrastructure tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-3,Epic,Security [MIDAS_v6],Security,Medium,To Do,High-level grouping for Security tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-4,Epic,Dead-Letter Queue [MIDAS_v6],Dead-Letter Queue,Medium,To Do,High-level grouping for Dead-Letter Queue tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-5,Epic,Offline Observer [MIDAS_v6],Offline Observer,Medium,To Do,High-level grouping for Offline Observer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-6,Epic,AWAP Pattern [MIDAS_v6],AWAP Pattern,Medium,To Do,High-level grouping for AWAP Pattern tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-7,Epic,Schema Compat [MIDAS_v6],Schema Compat,Medium,To Do,High-level grouping for Schema Compat tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-8,Epic,Idempotency [MIDAS_v6],Idempotency,Medium,To Do,High-level grouping for Idempotency tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-9,Epic,Scrapling [MIDAS_v6],Scrapling,Medium,To Do,High-level grouping for Scrapling tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-10,Epic,GMISR v2.0 [MIDAS_v6],GMISR v2.0,Medium,To Do,High-level grouping for GMISR v2.0 tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-11,Epic,Model Delta [MIDAS_v6],Model Delta,Medium,To Do,High-level grouping for Model Delta tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-12,Epic,Scored Metrics [MIDAS_v6],Scored Metrics,Medium,To Do,High-level grouping for Scored Metrics tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-13,Epic,Advanced Signals [MIDAS_v6],Advanced Signals,Medium,To Do,High-level grouping for Advanced Signals tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-14,Epic,Parquet snapshot layer [MIDAS_v6],Parquet snapshot layer,Medium,To Do,High-level grouping for Parquet snapshot layer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-15,Epic,DuckDB analytics layer [MIDAS_v6],DuckDB analytics layer,Medium,To Do,High-level grouping for DuckDB analytics layer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-16,Epic,Feature store (ML bridge) [MIDAS_v6],Feature store (ML bridge),Medium,To Do,High-level grouping for Feature store (ML bridge) tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-17,Epic,ML regime classifier [MIDAS_v6],ML regime classifier,Medium,To Do,High-level grouping for ML regime classifier tasks from MIDAS_v6 model.,,,,
