ID,Wave,Epic,Priority,Status,Summary,Description,Pts
ETL-1.7.5.5,WAVE 0,ETL Bug Fixes,HIGH,DONE,CFTC Layer 4 — partial 404 fix (Socrata SODA endpoint),Replaced /api/detail/cot (404) with /resource/6dca-aqww.json Socrata SODA. OData→SoQL query syntax. Superseded by 1.7.5.6.,1
ETL-1.7.5.6,WAVE 0,ETL Bug Fixes,HIGH,DONE,CFTC Layer 4 — confirmed live endpoint /api/v3/,"Live endpoint confirmed: /api/v3/views/6dca-aqww/query.json with app_token. Default sort is ASC from 2000 — $order DESC mandatory. 2-source fallback chain. Layer 4 now live: net=-9,180 NEUTRAL. COMMODITY_REGIME composite confirmed on all runs since 03-21.",2
SYNC-1.3,WAVE 0,Docs,MED,DONE,DEXTER_SYNC_CONTRACT v1.3 — CFTC endpoint + version pairing,"Ticker registry updated with confirmed /api/v3/ endpoint, app_token, dataset ID, ascending-sort warning. Version pairing log rows for 1.7.5.1–1.7.5.6 added.",1
DOCS-MACRO,WAVE 0,Docs,MED,DONE,MACRO_TIERS v3.2 — ETL 1.7.5.6 sync,Tier -1.5 auctions_query promoted to primary (TA_WS=fallback). Tier 3 DTWEXBGS→DTWEXM fix + sanity gate. Full Dollar Decomposition 4-layer section added. Naming fixed.,2
DOCS-REGIME,WAVE 0,Docs,MED,DONE,REGIME_RULES v2.3 — Dollar Decomp wired into weighting,COMMODITY_REGIME + 4 other composites added to Tier 3 rows and ETL→Regime mapping table. ETL sync 1.7.5.6. Naming fixed.,1
DOCS-SOUL,WAVE 0,Docs,MED,DONE,SOUL v2.4 — §3.1 Dollar Decomp supplement,§3.1 Dollar Decomposition added with composite table. ETL filename reference updated. MACRO_TIERS v3.2 xref. Naming fixed.,1
DOCS-MANIFEST,WAVE 0,Docs,MED,DONE,MIDAS_SENTINEL_PROMPT_LIBRARY v2026.4 — 3 corrections,CONVICTION_CAP 0.4 schema added. DOLLAR_DECOMP + BALTIMORE_PSC in checklist. Daily source filenames corrected to ETL 1.7.5.x names. Phase 0 added to TIER_AUDIT integrity table.,2
DOCS-AGENTS,WAVE 0,Docs,MED,DONE,"AGENTS.md v1.1 — model, ETL spec, conflict logic, phase order",Main agent upgraded to gemini-3-flash-preview. ETL spec 1.2.0.0→1.7.5.6. FRA-OIS conflict logic corrected (CB Supremacy). EDGAR web_fetch scope corrected. TIER_AUDIT anchor + CONVICTION_CAP + phase sequence added.,2
DOCS-OC-SOUL,WAVE 0,Docs,HIGH,DONE,OPENCLAW_SOUL 2026.3.22 — 6 logic fixes,"Phase scope 1-5→0-5. 40bps Rubicon logic corrected (Regime A elevated, not Regime C). Canonical threshold source: SOUL §3 not SYNC_CONTRACT. DTCC→SEC FTD. Dollar Decomp + CONVICTION_CAP 0.4 + GatePassObject added.",2
DOCS-HEARTBEAT,WAVE 0,Docs,HIGH,DONE,HEARTBEAT.md v1.1 — 11 fixes,"ETL run at 05:45. NotebookLM upload at 05:55. Phase 0 at 06:00. Phase 0.5 conditional slot. DOLLAR_DECOMP gate check. Phase 5 explicit. DEXTER_SENTINEL→MIDAS_SENTINEL log. 30m FRA-OIS polling removed (SOFR is daily, not real-time). Shadow journal v2026.4 ref.",2
DOCS-NAMING,WAVE 0,Docs,MED,DONE,Naming standardisation — Dexter ETL / Midas Sentinel,"Dexter = ETL/data layer. Midas Sentinel = analysis/OpenClaw layer. 6 violations fixed across dexter_etl, MACRO_TIERS, REGIME_RULES, MIDAS_SENTINEL manifest. Zero violations remaining.",1
DOCS-NOTEBOOKLM,WAVE 0,Docs,HIGH,DONE,dexter_notebooklm_upload.py — automated daily upload,Uploads all ETL output files + foundation docs to NotebookLM in tier priority order. TIER_AUDIT first. dexter_notebooklm_upload.py using notebooklm-py (teng-lin). --dry-run flag. DEXTER_DATA_DIR + DEXTER_FOUNDATION_DIR env vars.,2
