Issue ID,Summary,Description,Team,Component,Story Points
P1-1,Add write_parquet_snapshot() to ETL main(),"After build_tier_audit() completes, write one Parquet row to dexter_data/parquet/gmisr_metrics/ partitioned by run_date. 28 typed columns: all TIER_AUDIT scalars + scored metrics (HDS/VPI/LFI/NLLI/PSI/CXOD/NDI) + regime + conviction_cap + sentence_bias + dollar_composite + cftc_net + all ratio values. pandas .to_parquet(). Zero infra — writes to local disk. ETL bump to 1.8.0.0.",Quant Lab,Data-Layer,3
P1-2,Define and lock GMISR_METRICS Parquet schema v1.0,Create schema_registry.py entry for gmisr_metrics. 28 typed columns. Scored metric columns NULLABLE until SCORE-1/7 Wave 5 work lands. Schema version in MANIFEST.json. Breaking changes require migration script.,Quant Lab,Data-Layer,2
P1-3,Add phase1_agreement and actual_spx_5d ML label columns,phase1_agreement BOOL: written retrospectively from DAILY_STATE.md shadow journal field after Phase 10. actual_spx_5d FLOAT: forward-filled weekly cron — SPX return for runs where 5 trading days elapsed. These are the two primary ML target label columns. Cannot be filled at run time.,Quant Lab,Core-ETL,3
P1-4,Write backfill_parquet.py — populate history from existing run archives,"One-time script: reads RUN_HISTORY.log to enumerate past run dates, parses each dexter_data/YYYYMMDD/ TIER_AUDIT + FRED_SUMMARY + DOLLAR_DECOMP into structured dicts, writes Parquet rows for all historical dates. Nullable for fields not in older ETL versions. Idempotent: skips run_dates already in store.",Quant Lab,Data-Layer,5
P2-1,Set up DuckDB + Evidence.dev local dashboard,"pip install duckdb. Write dexter_analytics.py: connects to gmisr_metrics Parquet, exposes 5 standard queries (regime trend 90d, metric heatmap, conviction history, NLLI velocity chart, phase1_agreement accuracy rate). Evidence.dev renders static local dashboard from SQL. Zero infra, runs on-machine.",Sentinel Alpha,Core-ETL,3
P2-2,Build 30/60/90-day regime and metrics dashboard,Dashboard pages: (1) Regime timeline bar chart with conviction_cap overlay. (2) Scored metrics heatmap HDS/VPI/LFI/NLLI/PSI colour-coded by week. (3) Dollar decomp history COMMODITY_REGIME vs TRUE_RISK_OFF over time. (4) Shadow journal accuracy — rolling PHASE1_AGREEMENT % by month. Replaces ad-hoc NotebookLM lookbacks.,Sentinel Alpha,Core-ETL,3
P3-1,Implement Feast feature store — point-in-time correct training sets,pip install feast. Define FeatureView over gmisr_metrics Parquet. Entity = run_date. Features = all scored metrics + tier fields. Materialise to local SQLite online store. Key function: get_historical_features() returns training dataset with no look-ahead bias. Prerequisite for Wave 7 HMM classifier.,Quant Lab,Core-ETL,5
P4-1,Build regime classifier v1.0 — HMM on scored metrics,"Requires >= 30 labelled run_dates (Kelly activation gate). Features: [HDS, VPI, LFI, VX_ratio, FRA-OIS, net_liq_roc, NLLI]. Label: regime A/B/C. Model: Hidden Markov Model (hmmlearn). Regime = hidden state, metrics = observations. Validation: HMM calls vs PHASE1_AGREEMENT shadow journal labels. Phase 10 auditor reports HMM accuracy weekly. Do not activate before 30-trade gate.",Quant Lab,ML-Engine,8
P4-2,Build SENTENCE_DIRECTIVE outcome tracker — P&L attribution log,"For each SENTENCE_DIRECTIVE conviction >= 0.40: record entry trigger, stop, target, actual_exit, outcome (win/loss/stopped/expired). Write to trade_log.parquet partitioned by run_date. Phase 10 auditor reads trade_log for attribution. Kelly fraction activates when trade_log has >= 30 closed trades.",Quant Lab,Core-ETL,5
P4-3,Kelly fraction activation and SOUL.md v3.0 update,When trade_log >= 30 closed: compute win_rate and avg_win/loss_ratio. Kelly = win_rate - (1-win_rate)/ratio. Phase 10 produces Kelly note for SOUL.md. Fixed-fractional (1%) active until this gate. Transition from paper-sizing to empirical sizing — SOUL.md version 3.0.,Quant Lab,Core-ETL,2
OB-1,SLA monitoring — per-module timing + elapsed alert (SLA Misses Detector),"Add timing instrumentation to each ETL module: record start_time, end_time, elapsed_s. Write to RUN_HISTORY.log alongside existing completion status. Alert thresholds: total run > 10 min = WARNING Slack, > 20 min = CRITICAL Slack. Per-module: any module > 3 min = WARNING (suggests API timeout or rate limit). SLA Misses Detector pattern per WBS 6.1 Book Ch. 10. ETL 2.x.0.0.",Assurance & Ops,Core-ETL,3
